t,q,dq,tau
0.0,-1.15187,-0.02198,-0.00244
0.0101,-1.15187,-0.00733,-0.00244
0.0202,-1.15187,0.00733,-0.00733
0.0303,-1.15187,0.00733,-0.01221
0.0404,-1.15187,-0.02198,-0.01221
0.0504,-1.15187,-0.02198,-0.01221
0.0606,-1.15187,0.00733,-0.01221
0.0707,-1.15187,-0.00733,-0.01221
0.0807,-1.15187,-0.00733,-0.01221
0.0908,-1.15187,-0.02198,-0.01221
0.1011,-1.15187,0.00733,-0.01221
0.1112,-1.15187,-0.00733,-0.01221
0.1213,-1.15187,-0.02198,-0.01221
0.1314,-1.15187,-0.00733,-0.01221
0.1415,-1.15187,-0.00733,-0.01221
0.1516,-1.15187,-0.00733,-0.01221
0.1617,-1.15187,-0.02198,-0.01221
0.1718,-1.15187,0.00733,-0.01221
0.182,-1.15187,0.00733,-0.01221
0.192,-1.15187,-0.02198,-0.01221
0.2021,-1.15187,0.00733,-0.01221
0.2122,-1.15187,-0.00733,-0.01221
0.2223,-1.15187,-0.00733,-0.01221
0.2324,-1.15187,-0.00733,-0.01221
0.2425,-1.15187,-0.02198,-0.01221
0.2525,-1.15187,-0.00733,-0.01221
0.2626,-1.15187,-0.00733,-0.01221
0.2727,-1.15187,-0.00733,-0.01221
0.2828,-1.15187,-0.00733,-0.01221
0.2929,-1.15187,-0.00733,-0.01221
0.303,-1.15187,-0.02198,-0.01221
0.3193,-1.15187,-0.00733,-0.01221
0.3294,-1.15187,-0.00733,-0.01221
0.3395,-1.15187,-0.00733,-0.00733
0.3496,-1.15187,-0.02198,-0.01221
0.3597,-1.15187,-0.02198,-0.01221
0.3697,-1.15187,-0.00733,-0.01221
0.3798,-1.15187,0.02198,-0.01221
0.3899,-1.15187,-0.00733,-0.01221
0.4,-1.15187,0.00733,-0.01221
0.4101,-1.15187,-0.00733,-0.01221
0.4202,-1.15187,0.00733,-0.01221
0.4303,-1.15187,-0.00733,-0.01221
0.4404,-1.15187,0.00733,-0.01221
0.4505,-1.15187,-0.00733,-0.01221
0.4606,-1.15187,0.00733,-0.01221
0.4707,-1.15187,-0.00733,-0.01221
0.4809,-1.15187,0.00733,-0.01221
0.4912,-1.15187,-0.02198,-0.01221
0.5014,-1.15187,-0.00733,-0.01221
0.5116,-1.15187,-0.00733,-0.01221
0.5216,-1.15187,-0.00733,-0.01221
0.5317,-1.15187,-0.00733,-0.01221
0.5418,-1.15187,-0.00733,-0.01221
0.5519,-1.15187,0.02198,-0.01221
0.562,-1.15187,-0.02198,-0.01709
0.5721,-1.15187,-0.00733,-0.01221
0.5822,-1.15187,-0.00733,-0.01221
0.5923,-1.15187,-0.00733,-0.00733
0.6024,-1.15187,-0.00733,-0.01221
0.6125,-1.15187,-0.00733,-0.01221
0.6226,-1.15187,-0.00733,-0.00733
0.6329,-1.15187,-0.00733,-0.01221
0.643,-1.15187,0.00733,-0.01221
0.6531,-1.15187,-0.00733,-0.01221
0.6632,-1.15187,-0.00733,-0.01221
0.6733,-1.15187,-0.00733,-0.01221
0.6833,-1.15187,-0.02198,-0.01221
0.6936,-1.15187,-0.02198,-0.01221
0.706,-1.15187,-0.00733,-0.01221
0.7162,-1.15187,0.00733,-0.01221
0.7263,-1.15187,-0.00733,-0.01221
0.7366,-1.15187,0.00733,-0.01221
0.7467,-1.15187,-0.00733,-0.01221
0.7568,-1.15187,-0.00733,-0.01221
0.7669,-1.15187,0.00733,-0.01221
0.7771,-1.15187,0.00733,-0.01221
0.7872,-1.15187,-0.00733,-0.01221
0.7973,-1.15187,0.00733,-0.01221
0.8074,-1.15187,-0.00733,-0.01221
0.8175,-1.15187,-0.00733,-0.01221
0.8276,-1.15187,0.00733,-0.01221
0.8377,-1.15187,-0.02198,-0.01221
0.8478,-1.15187,-0.00733,-0.01221
0.8578,-1.15187,-0.00733,-0.01221
0.8679,-1.15187,0.00733,-0.01221
0.878,-1.15187,-0.02198,-0.01221
0.8881,-1.15187,-0.02198,-0.01221
0.8982,-1.15187,-0.00733,-0.01221
0.9083,-1.15187,0.00733,-0.01221
0.9184,-1.15187,-0.02198,-0.01221
0.9284,-1.15187,-0.00733,-0.00733
0.9385,-1.15187,-0.00733,-0.01221
0.9486,-1.15187,-0.00733,-0.01221
0.9587,-1.15187,-0.00733,-0.01221
0.9688,-1.15187,-0.00733,-0.01221
0.9789,-1.15187,-0.00733,-0.01221
0.989,-1.15187,-0.00733,-0.01221
0.999,-1.15187,-0.00733,-0.01221
1.0091,-1.15187,-0.03663,-0.01221
1.0192,-1.15187,-0.02198,-0.01221
1.0293,-1.15187,-0.02198,-0.01221
1.0394,-1.15187,-0.00733,-0.01221
1.0495,-1.15187,-0.00733,-0.01221
1.0596,-1.15187,-0.02198,-0.01221
1.0697,-1.15187,0.00733,-0.01221
1.0798,-1.15187,0.00733,-0.01221
1.0899,-1.15187,-0.00733,-0.01221
1.1,-1.15187,-0.02198,-0.01221
1.1101,-1.15187,-0.00733,-0.01221
